"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
16,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,18,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185575846343,4242185576428365,4242185576463405,4242185576464026,35040
17,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,20,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185577343979,4242185577370126,4242185577405006,4242185577405745,34880
18,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,21,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185577430721,4242185577448206,4242185577480366,4242185577480795,32160
19,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,22,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185577503066,4242185577519726,4242185577552046,4242185577552509,32320
20,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,23,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185577573858,4242185577590446,4242185577623086,4242185577623551,32640
21,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,24,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185577642657,4242185577659086,4242185577691406,4242185577691939,32320
22,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,25,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185577710954,4242185577727086,4242185577759406,4242185577759896,32320
23,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,26,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185577779102,4242185577795886,4242185577828367,4242185577828885,32481
24,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,27,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185577848141,4242185577864367,4242185577896527,4242185577897092,32160
25,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,28,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185577916408,4242185577933167,4242185577965647,4242185577966191,32480
26,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,29,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185577985467,4242185578001807,4242185578034767,4242185578035240,32960
27,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,30,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185578054616,4242185578071247,4242185578104847,4242185578105341,33600
28,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,31,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185578123515,4242185578139567,4242185578172047,4242185578172556,32480
29,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,32,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185578191602,4242185578233487,4242185578265647,4242185578266411,32160
30,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,33,22350,22350,18432,256,61440,0,84,20,48,64,"0x0","0x7f12cf328600",4242185578294654,4242185578311407,4242185578344047,4242185578344537,32640
