"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"_ZN2at6native12_GLOBAL__N_143distribution_elementwise_grid_stride_kernelIfLi4EZNS0_9templates4cuda20normal_and_transformIN3c104HalfEfLm4EPNS_17CUDAGeneratorImplEZZZNS4_13normal_kernelIS9_EEvRNS_6TensorEddT_ENKUlvE_clEvENKUlvE4_clEvEUlfE_EEvRNS_18TensorIteratorBaseET2_T3_EUlP25hiprandStatePhilox4_32_10E0_ZNS1_27distribution_nullary_kernelIS7_fLi4ES9_SN_SG_EEvSI_SJ_RKSK_T4_EUlifE_EEviNS_15PhiloxCudaStateET1_SJ_.kd",4,0,0,26216,26216,512,256,0,0,32,0,64,64,"0x0","0x7f6d08d6b9c0",4318518944232695,4318518944284283,4318518944295483,4318518944312368,11200
1,"_ZN2at6native12_GLOBAL__N_143distribution_elementwise_grid_stride_kernelIfLi4EZNS0_9templates4cuda20normal_and_transformIN3c104HalfEfLm4EPNS_17CUDAGeneratorImplEZZZNS4_13normal_kernelIS9_EEvRNS_6TensorEddT_ENKUlvE_clEvENKUlvE4_clEvEUlfE_EEvRNS_18TensorIteratorBaseET2_T3_EUlP25hiprandStatePhilox4_32_10E0_ZNS1_27distribution_nullary_kernelIS7_fLi4ES9_SN_SG_EEvSI_SJ_RKSK_T4_EUlifE_EEviNS_15PhiloxCudaStateET1_SJ_.kd",4,0,1,26216,26216,225280,256,0,0,32,0,64,64,"0x0","0x7f6d08d6b9c0",4318518944479706,4318518944496123,4318518944541723,4318518944543290,45600
2,"matmul_kernel_0d1d2d3c4d5d6d7c8d9c10d11c.kd",4,0,2,26216,26216,9216,128,4608,0,48,16,32,64,"0x0","0x7f6d08bbc640",4318518953278127,4318518953309438,4318518953329758,4318518953331271,20320
3,"matmul_kernel_0d1d2d3c4d5d6d7c8d9c10d11c.kd",4,0,3,26216,26216,9216,128,4608,0,48,16,32,64,"0x0","0x7f6d08bbc640",4318518953460267,4318518953486878,4318518953497598,4318518953498623,10720
4,"matmul_kernel_0d1d2d3c4d5d6d7c8d9c10d11c.kd",4,0,4,26216,26216,9216,128,4608,0,48,16,32,64,"0x0","0x7f6d08bbc640",4318518953582135,4318518953605759,4318518953615679,4318518953616303,9920
5,"matmul_kernel_0d1d2d3c4d5d6d7c8d9c10d11c.kd",4,0,5,26216,26216,9216,128,4608,0,48,16,32,64,"0x0","0x7f6d08bbc640",4318518953685508,4318518953707999,4318518953718079,4318518953718875,10080
