"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
316,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,515,104412,104412,16000000,256,0,0,4,4,16,64,"0x0","0x7f26f0d74440",2944841872593223,2944841883910002,2944841884089522,2944841884114776,179520
317,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,517,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841872679384,2944841884102642,2944841884146802,2944841884234780,44160
318,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,519,104412,104412,16000000,256,0,0,4,4,16,64,"0x0","0x7f26f0d74440",2944841872715822,2944841884158002,2944841884340882,2944841884346038,182880
319,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,521,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841872801973,2944841884353842,2944841884397522,2944841884405659,43680
320,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,523,104412,104412,16000000,256,0,0,4,4,16,64,"0x0","0x7f26f0d74440",2944841872837980,2944841884408882,2944841884593522,2944841884620921,184640
321,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,525,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841872924862,2944841884606642,2944841884650642,2944841884676775,44000
322,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,527,104412,104412,16000000,256,0,0,4,4,16,64,"0x0","0x7f26f0d74440",2944841872960609,2944841884661842,2944841884839762,2944841884859497,177920
323,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,529,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841873046679,2944841884853042,2944841884896562,2944841884919328,43520
324,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,531,104412,104412,16000000,256,0,0,4,4,16,64,"0x0","0x7f26f0d74440",2944841873080843,2944841884908082,2944841885085682,2944841885108341,177600
325,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,533,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841873166273,2944841885098642,2944841885142642,2944841885229097,44000
326,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,535,104412,104412,16000000,256,0,0,4,4,16,64,"0x0","0x7f26f0d74440",2944841873201940,2944841885153843,2944841885334803,2944841885342087,180960
327,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,537,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841873288060,2944841885347923,2944841885391763,2944841885464356,43840
328,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,539,104412,104412,16000000,256,0,0,4,4,16,64,"0x0","0x7f26f0d74440",2944841873321483,2944841885403123,2944841885582803,2944841885589389,179680
329,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,541,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841873408816,2944841885595763,2944841885639603,2944841885694706,43840
330,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,543,104412,104412,16000000,256,0,0,4,4,16,64,"0x0","0x7f26f0d74440",2944841873444683,2944841885650803,2944841885832403,2944841885840128,181600
331,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,545,104412,104412,1024,128,49152,0,84,20,48,64,"0x0","0x7f26f0d18600",2944841873529611,2944841885845523,2944841885889043,2944841885899138,43520
332,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,547,104412,104412,16000000,256,0,0,4,4,16,64,"0x0","0x7f26f0d74440",2944841873563615,2944841885900403,2944841886080883,2944841886096216,180480
