"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
700,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1269,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754711911976,2946754736707372,2946754736894732,2946754737053400,187360
701,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1271,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754711997786,2946754736907852,2946754736916332,2946754737062407,8480
702,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1273,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754712030798,2946754736927852,2946754737113292,2946754737187250,185440
703,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1275,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754712130364,2946754737125932,2946754737135052,2946754737177723,9120
704,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1277,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754712165690,2946754737146252,2946754737333612,2946754737408153,187360
705,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1279,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754712253734,2946754737346732,2946754737355212,2946754737416999,8480
706,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1281,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754712287818,2946754737366572,2946754737547052,2946754737559195,180480
707,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1283,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754712373237,2946754737560172,2946754737568332,2946754737591696,8160
708,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1285,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754712407972,2946754737579692,2946754737762892,2946754737776521,183200
709,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1287,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754712494123,2946754737776012,2946754737784972,2946754737807629,8960
710,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1289,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754712528658,2946754737796172,2946754737979213,2946754737989548,183041
711,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1291,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754712613185,2946754737991853,2946754738000493,2946754738020246,8640
712,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1293,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754712648121,2946754738011693,2946754738200653,2946754738218226,188960
713,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1295,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754712735353,2946754738213773,2946754738222413,2946754738226871,8640
714,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1297,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754712769938,2946754738233613,2946754738414733,2946754738425703,181120
715,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1299,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754712853925,2946754738427853,2946754738436013,2946754738457011,8160
716,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1301,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754712911172,2946754738447373,2946754738638733,2946754738652947,191360
717,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1303,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754713001190,2946754738651853,2946754738660653,2946754738684196,8800
718,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1305,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754713036286,2946754738672013,2946754738854093,2946754738864031,182080
719,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1307,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754713129339,2946754738867213,2946754738875853,2946754738894017,8640
720,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1309,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754713163914,2946754738887053,2946754739072813,2946754739087429,185760
721,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1311,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754713249473,2946754739085773,2946754739094573,2946754739119088,8800
722,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1313,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754713310498,2946754739105933,2946754739297613,2946754739307940,191680
723,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1315,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754713401978,2946754739310733,2946754739319213,2946754739339038,8480
724,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,1317,104683,104683,16000000,256,0,0,4,4,16,64,"0x0","0x7fe6c5ad4440",2946754713437725,2946754739330573,2946754739519053,2946754739532339,188480
725,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,1319,104683,104683,46080,256,16896,0,60,20,32,64,"0x0","0x7fe6c5c08600",2946754713526721,2946754739531853,2946754739540973,2946754739561794,9120
