"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
300,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,470,14793,14793,46080,256,16896,0,44,4,32,64,"0x0","0x7fe40f8b6600",1316033613270859,1316033619712233,1316033619721193,1316033619742950,8960
301,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,472,14793,14793,16000000,256,0,0,4,4,16,64,"0x0","0x7fe40f894440",1316033613305974,1316033619732713,1316033619921194,1316033619924539,188481
302,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,474,14793,14793,46080,256,16896,0,44,4,32,64,"0x0","0x7fe40f8b6600",1316033613398587,1316033619934314,1316033619942954,1316033619950147,8640
303,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,476,14793,14793,16000000,256,0,0,4,4,16,64,"0x0","0x7fe40f894440",1316033613434845,1316033619954314,1316033620137514,1316033620146865,183200
304,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,478,14793,14793,46080,256,16896,0,44,4,32,64,"0x0","0x7fe40f8b6600",1316033613523561,1316033620150794,1316033620159114,1316033620174837,8320
305,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,480,14793,14793,16000000,256,0,0,4,4,16,64,"0x0","0x7fe40f894440",1316033613562023,1316033620170474,1316033620357675,1316033620360765,187201
306,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,482,14793,14793,46080,256,16896,0,44,4,32,64,"0x0","0x7fe40f8b6600",1316033613680804,1316033620370635,1316033620379435,1316033620394107,8800
307,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,484,14793,14793,16000000,256,0,0,4,4,16,64,"0x0","0x7fe40f894440",1316033613717954,1316033620392075,1316033620573995,1316033620577750,181920
308,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,486,14793,14793,46080,256,16896,0,44,4,32,64,"0x0","0x7fe40f8b6600",1316033613808824,1316033620587435,1316033620595915,1316033620608798,8480
309,"void at::native::modern::elementwise_kernel<at::native::FillFunctor<int>, at::detail::Array<char*, 1> >(int, at::native::FillFunctor<int>, at::detail::Array<char*, 1>) [clone .kd]",4,0,488,14793,14793,16000000,256,0,0,4,4,16,64,"0x0","0x7fe40f894440",1316033613843980,1316033620607115,1316033620790156,1316033620806467,183041
310,"matmul_kernel_0d1d2d3d4c5d6c7d8c.kd",4,0,490,14793,14793,46080,256,16896,0,44,4,32,64,"0x0","0x7fe40f8b6600",1316033613932395,1316033620803276,1316033620811756,1316033620815584,8480
